order_id,date,item_name,item_type,item_price,quantity,transaction_amount,transaction_type,received_by,time_of_sale,ano,nome_mes,dia_semana
1,2022-07-03,Aalopuri,Fastfood,20,13,260,desconhecido,male,Night,2022,July,Sunday
2,2022-08-23,Vadapav,Fastfood,20,15,300,Cash,male,Afternoon,2022,August,Tuesday
3,2022-11-20,Vadapav,Fastfood,20,1,20,Cash,male,Afternoon,2022,November,Sunday
4,2023-02-03,Sugarcane juice,Beverages,25,6,150,Online,male,Night,2023,February,Friday
5,2022-10-02,Sugarcane juice,Beverages,25,8,200,Online,male,Evening,2022,October,Sunday
6,2022-11-14,Vadapav,Fastfood,20,10,200,Cash,male,Evening,2022,November,Monday
7,2022-05-03,Sugarcane juice,Beverages,25,9,225,Cash,male,Evening,2022,May,Tuesday
8,2022-12-22,Panipuri,Fastfood,20,14,280,Online,male,Night,2022,December,Thursday
9,2022-06-10,Panipuri,Fastfood,20,1,20,Cash,female,Morning,2022,June,Friday
10,2022-09-16,Panipuri,Fastfood,20,5,100,Online,male,Afternoon,2022,September,Friday
11,2022-12-01,Frankie,Fastfood,50,8,400,Online,female,Afternoon,2022,December,Thursday
12,2022-07-12,Vadapav,Fastfood,20,8,160,Online,female,Night,2022,July,Tuesday
13,2022-12-22,Panipuri,Fastfood,20,9,180,Online,female,Afternoon,2022,December,Thursday
14,2022-11-25,Frankie,Fastfood,50,4,200,Online,male,Morning,2022,November,Friday
15,2023-02-03,Aalopuri,Fastfood,20,3,60,Cash,female,Evening,2023,February,Friday
16,2022-04-14,Sandwich,Fastfood,60,11,660,desconhecido,female,Midnight,2022,April,Thursday
17,2022-10-16,Panipuri,Fastfood,20,11,220,Cash,female,Morning,2022,October,Sunday
18,2022-11-05,Panipuri,Fastfood,20,10,200,Cash,female,Night,2022,November,Saturday
19,2022-08-22,Panipuri,Fastfood,20,11,220,Cash,female,Night,2022,August,Monday
20,2022-09-15,Cold coffee,Beverages,40,10,400,Online,male,Night,2022,September,Thursday
21,2022-12-21,Cold coffee,Beverages,40,15,600,Cash,male,Evening,2022,December,Wednesday
22,2022-10-04,Sugarcane juice,Beverages,25,12,300,Online,male,Evening,2022,October,Tuesday
23,2022-05-26,Sandwich,Fastfood,60,3,180,Online,male,Midnight,2022,May,Thursday
24,2023-02-11,Sugarcane juice,Beverages,25,10,250,Online,male,Afternoon,2023,February,Saturday
25,2022-08-31,Sandwich,Fastfood,60,1,60,Online,female,Evening,2022,August,Wednesday
26,2022-08-18,Sugarcane juice,Beverages,25,4,100,Cash,male,Afternoon,2022,August,Thursday
27,2022-10-12,Cold coffee,Beverages,40,11,440,Online,female,Afternoon,2022,October,Wednesday
28,2023-01-06,Cold coffee,Beverages,40,10,400,Online,female,Afternoon,2023,January,Friday
29,2023-02-10,Sugarcane juice,Beverages,25,9,225,Online,male,Afternoon,2023,February,Friday
30,2023-01-28,Frankie,Fastfood,50,2,100,Cash,female,Night,2023,January,Saturday
31,2022-09-14,Cold coffee,Beverages,40,13,520,Online,female,Evening,2022,September,Wednesday
32,2022-05-06,Aalopuri,Fastfood,20,4,80,desconhecido,male,Morning,2022,May,Friday
33,2023-02-05,Aalopuri,Fastfood,20,13,260,Online,male,Night,2023,February,Sunday
34,2023-02-04,Frankie,Fastfood,50,12,600,Online,female,Evening,2023,February,Saturday
35,2022-05-22,Vadapav,Fastfood,20,8,160,Cash,male,Morning,2022,May,Sunday
36,2022-07-02,Cold coffee,Beverages,40,10,400,Online,male,Afternoon,2022,July,Saturday
37,2023-01-05,Frankie,Fastfood,50,10,500,Cash,male,Night,2023,January,Thursday
38,2023-03-08,Panipuri,Fastfood,20,12,240,Online,female,Night,2023,March,Wednesday
39,2022-05-14,Vadapav,Fastfood,20,2,40,Online,male,Evening,2022,May,Saturday
40,2023-02-05,Sandwich,Fastfood,60,5,300,Online,female,Night,2023,February,Sunday
41,2022-11-13,Cold coffee,Beverages,40,11,440,desconhecido,male,Afternoon,2022,November,Sunday
42,2022-05-09,Aalopuri,Fastfood,20,8,160,Online,female,Night,2022,May,Monday
43,2022-05-26,Vadapav,Fastfood,20,1,20,Cash,male,Night,2022,May,Thursday
44,2022-08-28,Cold coffee,Beverages,40,12,480,Cash,male,Evening,2022,August,Sunday
45,2022-08-15,Sugarcane juice,Beverages,25,6,150,Cash,female,Afternoon,2022,August,Monday
46,2022-05-07,Vadapav,Fastfood,20,7,140,Cash,male,Evening,2022,May,Saturday
47,2022-07-10,Sandwich,Fastfood,60,7,420,desconhecido,male,Morning,2022,July,Sunday
48,2023-02-23,Sandwich,Fastfood,60,14,840,Online,male,Afternoon,2023,February,Thursday
49,2022-11-06,Frankie,Fastfood,50,4,200,Online,female,Morning,2022,November,Sunday
50,2022-11-02,Vadapav,Fastfood,20,8,160,Cash,female,Midnight,2022,November,Wednesday
51,2022-05-16,Frankie,Fastfood,50,15,750,Online,female,Morning,2022,May,Monday
52,2023-03-16,Sugarcane juice,Beverages,25,12,300,Cash,female,Midnight,2023,March,Thursday
53,2022-07-26,Aalopuri,Fastfood,20,13,260,Cash,male,Afternoon,2022,July,Tuesday
54,2022-12-28,Panipuri,Fastfood,20,14,280,Online,female,Morning,2022,December,Wednesday
55,2022-05-07,Sandwich,Fastfood,60,10,600,Cash,male,Night,2022,May,Saturday
